Date,AAPL,ABT,ADBE,AEP,AMGN,AMT,AMZN,APD,AVB,AXP,BA,BAC,BMY,BRK.B,C,CAT,CCI,CHTR,CL,CMCSA,COP,COST,CRM,CVX,D,DD,DIS,DLR,DUK,ECL,ED,EOG,EQR,EXC,F,FCX,FDX,GE,GM,GOOGL,GS,HD,HON,IBM,INTC,IP,JNJ,JPM,KHC,KMI,KO,LIN,LMT,LOW,MA,MCD,MDLZ,MDT,META,MMM,MO,MON,MPC,MRK,MS,MSFT,NEE,NEM,NFLX,NKE,NVDA,O,OXY,PEG,PEP,PFE,PG,PLD,PM,PSA,PSX,RTX,SBUX,SHW,SLB,SO,SPG,SRE,T,TGT,TMO,TSLA,UNH,UNP,UPS,V,VZ,WFC,WMT,XOM
2018-01-02,40.67097854614258,52.83172607421875,177.6999969482422,58.05971908569336,146.4291534423828,123.03688049316406,59.45050048828125,142.5520782470703,142.9901123046875,90.5064926147461,282.8863830566406,25.81389045715332,50.243568420410156,,60.05537414550781,135.36228942871094,85.62459564208984,348.9700012207031,64.63280487060547,35.741458892822266,45.076358795166016,170.3489532470703,104.27379608154297,97.52238464355469,61.079933166503906,90.22985076904297,108.37285614013672,89.9300308227539,63.9877815246582,125.6849365234375,66.39163208007812,86.43577575683594,51.262611389160156,22.819887161254883,9.247077941894531,18.37002944946289,233.42111206054688,102.96314239501953,37.38859558105469,53.660499572753906,222.35931396484375,161.6011962890625,129.58370971679688,109.54768371582031,39.74064636230469,42.66400146484375,117.50269317626953,90.12550354003906,57.7183837890625,13.013182640075684,37.3570671081543,140.87396240234375,269.81268310546875,81.75899505615234,146.72467041015625,149.63729858398438,36.859413146972656,70.43466186523438,181.2277069091797,184.65322875976562,45.368133544921875,,54.267311096191406,44.38198471069336,43.32795333862305,80.08091735839844,33.418479919433594,31.304481506347656,201.07000732421875,59.44441223144531,49.31047439575195,41.24982452392578,62.68818664550781,41.08566665649414,98.44111633300781,27.162254333496094,76.66967010498047,54.42348098754883,73.7469711303711,159.65936279296875,79.19512176513672,69.25640869140625,50.676483154296875,130.3791961669922,58.11510467529297,36.00037384033203,121.95726776123047,43.075660705566406,17.7686767578125,57.744232177734375,190.00106811523438,21.368667602539062,201.71029663085938,118.5495834350586,100.91924285888672,109.73363494873047,39.031982421875,50.9176139831543,29.440811157226562,62.63845443725586
2018-01-03,40.66389846801758,52.948551177978516,181.0399932861328,57.57060623168945,149.19224548339844,123.51634979248047,60.209999084472656,143.32720947265625,143.433837890625,91.06452178955078,283.80126953125,25.727556228637695,50.284542083740234,,60.241146087646484,135.56919860839844,85.26301574707031,353.0299987792969,64.38336181640625,35.16708755493164,45.90748596191406,172.39324951171875,105.15264129638672,98.23326873779297,58.728946685791016,91.67303466796875,108.83814239501953,90.75223541259766,63.78788757324219,126.49791717529297,65.76409912109375,87.72481536865234,51.52898025512695,22.514387130737305,9.320120811462402,18.09127426147461,236.33888244628906,103.93665313720703,38.30094909667969,54.57600021362305,220.28939819335938,162.44342041015625,128.51304626464844,112.55892181396484,38.39192581176758,43.227909088134766,118.62516021728516,90.21734619140625,57.710899353027344,13.123934745788574,37.27503204345703,142.05551147460938,272.07427978515625,82.11592102050781,148.5694580078125,149.00669860839844,37.007179260253906,71.89972686767578,184.47427368164062,184.64541625976562,45.201377868652344,,55.42245101928711,44.3188362121582,43.44417190551758,80.45361328125,32.70954895019531,31.041980743408203,205.0500030517578,59.43504333496094,52.55579376220703,41.140541076660156,63.552490234375,40.87620544433594,98.18262481689453,27.36351776123047,76.5766372680664,54.321449279785156,73.6551284790039,160.00753784179688,79.72441101074219,70.27233123779297,51.626182556152344,130.90234375,59.6281852722168,35.7943115234375,121.39138793945312,44.21644592285156,17.358354568481445,57.351478576660156,193.4864501953125,21.149999618530273,203.82626342773438,119.21318054199219,103.15516662597656,110.82608032226562,38.22990417480469,51.30934524536133,29.69762420654297,63.868690490722656
2018-01-04,40.8527717590332,52.85867691040039,183.22000122070312,56.88907241821289,148.56349182128906,121.71173858642578,60.47949981689453,143.87843322753906,140.86834716796875,92.57917785644531,282.72442626953125,26.06426429748535,50.93618392944336,,60.98413848876953,137.43099975585938,84.2725830078125,349.7900085449219,64.79623413085938,35.393348693847656,46.4371223449707,171.05450439453125,106.54083251953125,97.92752075195312,58.45504379272461,93.42992401123047,108.78968048095703,89.62670135498047,63.28815460205078,127.52584075927734,64.99357604980469,87.74064636230469,50.641109466552734,22.19736671447754,9.48081111907959,18.342145919799805,240.0177764892578,106.11273956298828,39.48163604736328,54.78799819946289,223.36819458007812,163.7325439453125,130.24974060058594,114.83867645263672,37.6878662109375,43.95598602294922,118.61675262451172,91.509765625,58.38534927368164,13.15854263305664,37.800045013427734,144.28329467773438,276.7414245605469,82.75845336914062,150.49151611328125,150.0519256591797,37.09408187866211,72.07109832763672,184.13462829589844,187.05899047851562,45.02180480957031,,55.47901153564453,45.037227630615234,44.108333587646484,81.16170501708984,32.541481018066406,31.386524200439453,205.6300048828125,59.39759826660156,52.83283996582031,40.251731872558594,63.51859664916992,39.67585754394531,98.66625213623047,27.423145294189453,77.1179428100586,53.233154296875,73.09703826904297,157.17526245117188,79.5064697265625,70.49391174316406,51.81963348388672,130.19009399414062,61.10782241821289,35.64167785644531,117.840576171875,43.92204284667969,17.519710540771484,56.224430084228516,195.90846252441406,20.974666595458984,204.71096801757812,118.56706237792969,103.82431030273438,111.2381591796875,38.353858947753906,51.95112609863281,29.724491119384766,63.95708084106445
2018-01-05,41.31789779663086,53.0114631652832,185.33999633789062,56.7688102722168,149.44866943359375,122.49628448486328,61.457000732421875,145.084228515625,140.58595275878906,92.79032897949219,294.32232666015625,26.18512725830078,51.051673889160156,,60.903385162353516,139.60317993164062,84.91714477539062,350.8800048828125,64.8736572265625,35.715354919433594,46.34749221801758,169.8333282470703,107.95897674560547,97.76697540283203,58.462646484375,94.64720916748047,108.19837188720703,90.2014389038086,62.996009826660156,128.18930053710938,64.93003845214844,88.7054214477539,50.600746154785156,22.012916564941406,9.64150333404541,18.490825653076172,240.9601593017578,106.17001342773438,39.3653564453125,55.51449966430664,222.2288818359375,165.44281005859375,131.1602325439453,115.39970397949219,37.950836181640625,44.0416374206543,119.59571075439453,90.92230224609375,58.3328971862793,13.11701488494873,37.79183578491211,145.5459747314453,279.2485656738281,84.54319763183594,153.6112518310547,150.35433959960938,37.57210159301758,73.28768157958984,186.65196228027344,188.51654052734375,45.15007781982422,,56.01212692260742,44.98984909057617,44.091732025146484,82.16797637939453,32.690155029296875,31.501371383666992,209.99000549316406,59.90319061279297,53.280540466308594,40.22256851196289,63.17118453979492,40.00615692138672,98.94973754882812,27.47532844543457,77.16867065429688,53.19064712524414,73.68339538574219,156.25437927246094,79.51426696777344,71.09913635253906,52.417579650878906,132.88780212402344,61.52579116821289,35.702728271484375,118.93695831298828,44.34318542480469,17.584260940551758,56.822105407714844,199.26580810546875,21.10533332824707,208.6145477294922,120.0775375366211,104.14256286621094,113.90220642089844,38.266361236572266,52.301185607910156,29.90068244934082,63.90552520751953
2018-01-08,41.16443634033203,52.85867691040039,185.0399932861328,57.265907287597656,149.40736389160156,123.80400085449219,62.34349822998047,145.23928833007812,140.69085693359375,91.93661499023438,295.57073974609375,26.00383186340332,51.06817626953125,,60.19266891479492,143.111328125,85.16866302490234,356.54998779296875,64.96825408935547,35.22800064086914,46.82008361816406,170.49366760253906,108.71798706054688,98.24857330322266,59.36043167114258,94.3209228515625,106.64741516113281,91.11942291259766,63.19590377807617,127.7407455444336,65.84354400634766,89.1324691772461,50.93975830078125,22.249242782592773,9.604979515075684,18.407194137573242,243.44302368164062,104.68109893798828,39.553199768066406,55.71049880981445,219.00221252441406,165.04750061035156,130.45204162597656,116.0956802368164,37.950836181640625,44.34857940673828,119.74760437011719,91.05657196044922,58.8125114440918,13.054718971252441,37.734405517578125,145.49191284179688,277.96112060546875,83.6240463256836,154.0756378173828,150.25062561035156,37.38089370727539,73.2619857788086,188.0804443359375,187.90524291992188,45.09235763549805,,56.05253219604492,44.729339599609375,43.909095764160156,82.2518081665039,32.959495544433594,31.468555450439453,212.0500030517578,60.43687438964844,54.91310501098633,40.273582458496094,63.7135124206543,40.12699508666992,98.38275146484375,27.16970443725586,77.57463836669922,53.81132125854492,73.57037353515625,157.50030517578125,79.43641662597656,71.77464294433594,52.153778076171875,133.6252899169922,62.528926849365234,36.023277282714844,119.71501159667969,44.3554573059082,17.634973526000977,57.360023498535156,199.5907745361328,22.42733383178711,204.99374389648438,121.74517059326172,105.40743255615234,114.36214447021484,38.200721740722656,51.709415435791016,30.342634201049805,64.19282531738281
2018-01-09,41.15971374511719,52.948551177978516,186.6999969482422,56.59238815307617,151.70716857910156,122.96712493896484,62.6349983215332,145.609619140625,139.6259307861328,92.27623748779297,303.4615173339844,26.133325576782227,51.018672943115234,,60.8226432800293,143.45608520507812,84.64202880859375,354.760009765625,65.06288146972656,35.341129302978516,47.20305633544922,168.5126495361328,109.00760650634766,97.72113037109375,58.7441520690918,94.54683685302734,106.56986999511719,89.88215637207031,62.45785140991211,127.703369140625,65.1445083618164,88.34164428710938,50.32631301879883,21.995620727539062,9.553853988647461,17.580217361450195,242.61837768554688,106.28453826904297,39.4011344909668,55.63949966430664,220.85470581054688,165.95849609375,131.522705078125,116.35137176513672,37.000789642333984,43.891746520996094,121.64649200439453,91.5181655883789,58.91743469238281,13.11009407043457,37.9230842590332,146.90792846679688,279.9516906738281,84.37364959716797,154.298095703125,149.9137420654297,37.363529205322266,73.5789794921875,187.67086791992188,189.07286071777344,44.617774963378906,,55.73748779296875,44.83985900878906,44.24946975708008,82.1959228515625,32.71816635131836,31.263465881347656,209.30999755859375,60.00618362426758,54.89824676513672,39.523197174072266,63.45927429199219,39.98199462890625,98.4577865600586,27.1398983001709,77.00798034667969,53.26716232299805,74.1001968383789,155.65855407714844,79.17176818847656,72.55818176269531,52.03946304321289,133.69142150878906,62.612525939941406,35.5729866027832,117.08374786376953,44.00382995605469,17.58899688720703,59.03351593017578,202.9185791015625,22.246000289916992,206.01522827148438,123.10718536376953,105.35845184326172,114.14178466796875,38.06062316894531,51.89278030395508,29.978322982788086,63.92023849487305
2018-01-10,41.150264739990234,52.86767578125,187.11000061035156,55.72643280029297,151.27700805664062,119.96810150146484,62.71649932861328,144.99813842773438,137.92367553710938,92.91885375976562,305.20550537109375,26.375062942504883,51.15065383911133,,61.09721755981445,142.97340393066406,82.47252655029297,350.8299865722656,64.3575439453125,35.75886154174805,46.974910736083984,167.72569274902344,108.65806579589844,98.34793090820312,57.98332214355469,93.11618041992188,106.1142807006836,87.43951416015625,61.5890998840332,126.26429748535156,64.27867126464844,88.57890319824219,49.60794448852539,21.874576568603516,9.51733112335205,18.12843894958496,242.8539276123047,108.4033432006836,38.461952209472656,55.50699996948242,221.1938934326172,164.84124755859375,132.43319702148438,116.59996032714844,36.050743103027344,43.984527587890625,121.50298309326172,92.5252456665039,58.370361328125,13.068559646606445,37.79183578491211,146.6733856201172,280.4090270996094,84.03453063964844,154.6463623046875,149.88784790039062,37.05063247680664,73.24486541748047,187.64089965820312,188.96315002441406,45.07952117919922,,56.14945602416992,45.23457717895508,44.77249526977539,81.8232421875,32.448814392089844,31.45215606689453,212.52000427246094,60.127899169921875,55.328651428222656,38.65623474121094,62.916969299316406,39.79670333862305,97.95748901367188,27.18462371826172,76.51744079589844,52.238380432128906,74.62298583984375,151.7583465576172,79.45198822021484,72.89864349365234,52.60224914550781,132.21652221679688,63.19767761230469,35.07689666748047,116.6947250366211,43.828006744384766,17.18082046508789,60.39112091064453,203.1055908203125,22.31999969482422,204.48297119140625,121.97215270996094,105.91336059570312,114.01719665527344,38.11960983276367,52.60958480834961,29.76331329345703,63.41196060180664
2018-01-11,41.38400650024414,53.228858947753906,188.9199981689453,55.10902404785156,150.532470703125,117.66655731201172,63.83399963378906,146.39340209960938,136.96360778808594,92.46902465820312,312.6960144042969,26.470033645629883,51.53010559082031,,61.02454376220703,145.84373474121094,81.50569915771484,355.2699890136719,64.12530517578125,37.072940826416016,48.22160339355469,171.30775451660156,108.95767211914062,101.33674621582031,57.98332214355469,94.39623260498047,107.58768463134766,86.162353515625,60.95097732543945,128.04916381835938,63.857666015625,91.05414581298828,49.20436096191406,22.139728546142578,9.612287521362305,18.47223663330078,245.73553466796875,108.91874694824219,39.52635955810547,55.602500915527344,221.88966369628906,167.31640625,133.13291931152344,116.6141357421875,36.82265090942383,44.419952392578125,122.19506072998047,93.0203857421875,57.800811767578125,13.290061950683594,37.7672233581543,147.74673461914062,280.476806640625,85.43557739257812,155.67181396484375,149.78419494628906,36.94633102416992,73.45046997070312,187.57098388671875,189.8800048828125,45.07952117919922,,56.74723434448242,45.471405029296875,44.99665069580078,82.06546783447266,32.42942810058594,31.862323760986328,217.24000549316406,60.193443298339844,55.42760467529297,38.81650161743164,64.2473373413086,40.28005599975586,97.45720672607422,27.251705169677734,76.24677276611328,52.41693878173828,74.07903289794922,151.76612854003906,79.6777114868164,72.947265625,52.76052474975586,134.05386352539062,64.40980529785156,34.535030364990234,116.58863067626953,43.627655029296875,17.115135192871094,63.18311309814453,205.43902587890625,22.530000686645508,205.56829833984375,122.5396957397461,108.90824890136719,114.84132385253906,38.429344177246094,52.51790237426758,29.867830276489258,64.03812408447266
2018-01-12,41.81134033203125,53.129520416259766,195.0500030517578,54.09071731567383,153.0804901123047,115.9491195678711,65.26000213623047,146.54843139648438,135.72120666503906,92.6893310546875,320.4057312011719,26.9276065826416,51.8105583190918,,62.05830001831055,146.7918701171875,81.41134643554688,354.0,64.18551635742188,36.9337043762207,48.93048858642578,173.53305053710938,110.09618377685547,102.12409973144531,57.77790069580078,94.63465881347656,109.02232360839844,84.4381332397461,60.658851623535156,128.65650939941406,63.14275360107422,91.49698638916016,48.768497467041016,22.12819480895996,9.66341495513916,18.3514461517334,246.3335418701172,107.42982482910156,39.419029235839844,56.532501220703125,223.54209899902344,168.81185913085938,134.1024627685547,115.86133575439453,36.6784553527832,44.44137954711914,123.013671875,94.5561752319336,57.96570587158203,13.51156234741211,37.857452392578125,148.05340576171875,284.8135986328125,90.00450897216797,157.0358428955078,149.93966674804688,36.911563873291016,73.21056365966797,179.1798858642578,191.5726318359375,44.64341735839844,,57.69234848022461,46.30820083618164,45.76041793823242,83.481689453125,32.39065170288086,32.64165115356445,221.22999572753906,60.54923629760742,55.155494689941406,38.40852737426758,64.84896850585938,40.360618591308594,97.87410736083984,27.236799240112305,75.7900619506836,52.58699035644531,73.82469177246094,149.77737426757812,81.70136260986328,73.8064956665039,53.11226272583008,136.4112548828125,65.17888641357422,34.222103118896484,117.06962585449219,43.7053337097168,17.31218719482422,65.5738296508789,206.92572021484375,22.4146671295166,208.53250122070312,123.25557708740234,109.42230987548828,115.08087921142578,38.24497604370117,52.13450241088867,30.12165641784668,64.47274017333984
2018-01-16,41.598854064941406,52.768348693847656,192.4600067138672,54.122798919677734,153.49411010742188,118.24195098876953,65.24299621582031,143.6200408935547,136.36666870117188,92.11100769042969,319.4051208496094,26.970766067504883,49.426666259765625,,62.276371002197266,145.93850708007812,82.78694915771484,352.92999267578125,64.8736572265625,36.39414978027344,47.94453811645508,173.2526092529297,108.7479476928711,100.90868377685547,57.26813888549805,94.05740356445312,107.29688262939453,85.79515075683594,60.28981399536133,128.03976440429688,62.76939010620117,89.80061340332031,48.97028732299805,22.1743106842041,9.568461418151855,17.951892852783203,244.27659606933594,104.2802505493164,39.52635955810547,56.53499984741211,224.7858123779297,168.71731567382812,133.1076202392578,116.3655776977539,36.59363555908203,43.70616149902344,123.94202423095703,94.22047424316406,58.93241882324219,13.421576499938965,38.1691780090332,146.20443725585938,279.61279296875,90.10267639160156,156.99713134765625,150.03468322753906,37.363529205322266,73.09920501708984,178.200927734375,191.78421020507812,44.200904846191406,,57.175357818603516,49.000179290771484,45.32872009277344,82.3170394897461,32.43803405761719,32.81393051147461,221.52999877929688,59.378883361816406,54.44559097290039,38.56879425048828,63.781288146972656,39.917537689208984,98.27433013916016,27.281518936157227,76.30598449707031,52.83354568481445,74.08609008789062,149.93209838867188,80.55723571777344,72.39607238769531,53.252952575683594,133.58428955078125,64.51012420654297,34.08472442626953,116.7371597290039,43.774845123291016,17.227737426757812,64.0027847290039,204.79905700683594,22.67066764831543,212.4178466796875,122.50476837158203,108.43492126464844,115.36837768554688,38.09749221801758,52.092811584472656,30.06790542602539,64.06758880615234
